"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",126,109.8,37,124.017176021933,103.465,133.8,113.675,126.679412718089,NA,124.7875,157.675,125.104412718089,119.029412718089,101.529412718089,123.454412718089,142.029412718089,148.25,145.125,119.403662718089,NA,94.25,125.024359375,124.017176021933,3.50665376394802,14.1,18.0092083845463,4.68130756234234,2.2,6,4.1,6,123.7,3.1,101.9,9,119,115.8,14.4,4.1,5
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",127,86.7,10,123.149851858758,109.77,128,137.875,118.174315051112,120,129.5875,156.875,127.299315051112,115.799315051112,134.549315051112,111.174315051112,117.924315051112,99.125,130.75,106.190565051112,NA,117.6,124.432867647059,123.149851858758,5.20993874569805,15.7,14.0292211253502,4.51445482105529,1.8,9,5.4,9,68.6,3.1,105.3,7,83,81.3,12.4,5.4,6
"CHADHENNE","Chad Henne","QB","JAC",128,197.4,32,120.620459672573,215.4,171.74,56.4,107.300151642269,NA,112.83,127.54,114.640151642269,120.760151642269,86.8001516422692,86.4601516422692,49.5001516422693,225.04,128.58,104.584051642269,NA,142.96,123.734093333333,120.620459672573,-125.072450702513,19.3,50.0149684299998,8.2479044466395,1,0,0,0,NA,0,170,0,NA,NA,NA,0,1
"KENNYSTILLS","Kenny Stills","WR","NO",129,135.6,50,118.329217886643,122.97,117.875,116.375,94.7348872821986,NA,114.375,112.075,121.084887282199,105.084887282199,119.084887282199,121.559887282199,116.709887282199,141.125,132.725,112.603837282199,NA,124.55,119.063020208333,118.329217886643,-24.4519511251935,21.3,10.7959597746682,4.90845429948037,1,1,1,1,NA,1.5,144.4,2,162,127.8,13.3,1,1
"STEVESMITH","Steve Smith","WR","BAL",130,147.6,51,118.01984321882,112.75,106.375,114.25,112.582465252365,NA,112.0625,109.875,112.957465252365,111.207465252365,119.582465252365,112.082465252365,128.082465252365,141.125,131.875,137.072465252365,NA,107.45,119.154864583333,118.01984321882,-24.7613257930171,19.9,11.085514279273,4.76252483810322,1,1,1,1,NA,0.95,142.65,3,149,126.9,13.9,1,1
"RODSTREATER","Rod Streater","WR","OAK",131,157.7,52,117.086121871039,147.24,122.375,117.125,93.8251613148576,NA,108.2,143.1,85.3751613148576,128.150161314858,112.375161314858,89.4751613148576,129.500161314858,110.875,127.825,116.003811314858,NA,112.49,117.475816458333,117.086121871039,-25.6950471407974,23.6,17.8619099166234,5.83771798771214,1,1,1,1,NA,0,170,2,236,NA,NA,1,1
"JAMESJONES","James Jones","WR","OAK",132,144.3,53,115.893469743175,29.63,104.5,105.625,115.174979800219,NA,112.0125,177.425,124.299979800219,110.549979800219,129.549979800219,120.549979800219,122.549979800219,157,132.125,105.668729800219,NA,105.9,116.459994791667,115.893469743175,-26.8876992686619,25.9,31.5937605269146,7.37643581713287,1,1,1,1,NA,1.3,142.3,3,172,NA,NA,1,1
"ZACHERTZ","Zach Ertz","TE","PHI",133,107.8,11,115.363157543433,90.155,129.25,138,102.500020141602,NA,123,120,110.125020141602,119.000020141602,122.875020141602,101.875020141602,123.500020141602,95.875,131.125,109.698770141602,NA,115.45,115.846380208333,115.363157543433,-2.57675556962761,13.8,13.6048587750741,4.24168040867948,1.4,7,4.2,7,102,2,127.5,6,111,107.4,14.9,4.2,5
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",134,123.6,12,115.30672993699,139.94,122.875,114.75,119.624787840267,NA,118.8625,100.625,116.749787840267,107.499787840267,108.374787840267,102.374787840267,113.999787840267,103.875,129.375,122.343487840267,NA,119.5,117.090323333333,115.30672993699,-2.63318317607046,16.3,10.6188472533009,4.27653602743677,1.2,5,3.1,5,118.2,1.9,113.4,6,117,123.2,17.8,3.1,4
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",135,135,54,115.034637287171,74.745,136,121.125,107.03487847612,NA,122.4625,119.425,118.65987847612,94.0348784761204,103.03487847612,116.03487847612,121.53487847612,106,128.875,86.3055784761204,NA,131.7,114.704910833333,115.034637287171,-27.7465317246652,21.3,17.2314760863236,5.4968447330697,1,1,1,1,NA,1.3,140.8,2,161,128.2,12.9,1,1
"TAVONAUSTIN","Tavon Austin","WR","STL",136,139.2,55,114.882866463391,41.68,97.775,74.65,102.500101433043,5.4,110.8375,87.6,136.050101433043,122.650101433043,98.1501014330431,126.300101433043,125.025101433043,136.4,151.825,99.7564514330432,NA,106.5,112.586535625,114.882866463391,-27.8983025484456,21.7,36.9045418115601,7.34478417085729,1,1,1,1,NA,1.5,136.8,6,145,122.9,15.6,1,1
"HAKEEMNICKS","Hakeem Nicks","WR","IND",137,125.5,56,114.793714200397,134.965,127.625,126.125,117.324769955316,NA,117.9,72.875,90.9497699553157,115.199769955316,89.9497699553157,114.574769955316,118.824769955316,109.625,147.875,93.3910199553157,NA,116.075,114.194286458333,114.793714200397,-27.9874548114398,22.9,19.2753469168139,5.88074507850108,1.3,2,1.65,2,122.9,1.7,123.5,3,133,107.7,11.4,1.65,2
"DANNYAMENDOLA","Danny Amendola","WR","NE",138,142.4,57,114.406809554774,120.555,96.625,90.25,117.625130211563,NA,102.1875,133.125,137.500130211563,104.875130211563,76.500130211563,104.900130211563,115.250130211563,161.875,142.4,130.880630211563,NA,43.22,112.763375,114.406809554774,-28.3743594570621,26.6,29.1272786424928,7.23713027625288,1,1,1,1,NA,2.2,114.6,4,143,116.7,13.1,1,1
"MARKUSWHEATON","Markus Wheaton","WR","PIT",139,125.2,58,114.137978973475,59.915,108,107.875,105,NA,110.2375,120.95,118.325,115.875,129.75,111.95,119.625,115.5,145.05,103.045,NA,133.635,113.07353125,114.137978973475,-28.6431900383618,18.8,18.7432589993487,5.32720241371155,1,1,1,1,NA,1.5,141.5,3,171,131.2,12.1,1,1
"DARRENSPROLES","Darren Sproles","RB","PHI",140,115.7,38,111.683492127489,87.74,133.525,109.075,114.303682677248,1.8,118.015,121.55,107.178682677248,114.928682677248,119.453682677248,105.578682677248,85.9536826772477,157.375,149.3,102.721982677248,NA,102.075,115.045470416667,111.683492127489,-8.8270301304957,15.6,34.1985657860094,6.34619584983109,2.3,4,3.15,4,118.3,4.1,93.7,9,99,81.7,9.1,3.15,4
"CHARLESCLAY","Charles Clay","TE","MIA",141,131.4,13,109.449614310958,126.405,97.375,115.25,111.649988295986,NA,109.0875,121,115.899988295986,97.7749882959863,112.274988295986,103.149988295986,95.2749882959863,100.125,129.625,111.429838295986,NA,110.165,112.807121041667,109.449614310958,-8.49029880210227,18.3,10.4051481484447,4.50328785806215,1.1,5,3.05,5,123.8,1.4,138.4,5,148,NA,NA,3.05,4
"DARRENMCFADDEN","Darren McFadden","RB","OAK",142,122.2,39,108.469193234273,132.215,110.575,80.575,77.6751594213302,NA,95.535,129.75,113.27515942133,99.0001594213302,81.6251594213302,90.2251594213302,91.7501594213302,124.95,133.575,118.95380942133,NA,114.4,109.276128958333,108.469193234273,-12.041329023711,22.7,19.5213428666078,5.87860714626093,2.7,6,4.35,6,123.1,1.7,124.7,6,132,121.5,17.3,4.35,5
"KENNYBRITT","Kenny Britt","WR","STL",143,139.3,59,108.453478040172,78.155,104.25,106,86.9222726862393,NA,101.125,107.1,97.9222726862393,91.1722726862393,116.047272686239,101.297272686239,112.922272686239,141.25,137,92.2110226862393,NA,136.875,110.608296875,108.453478040172,-34.327690971665,29.2,18.7903121669662,6.61221266373701,1,1,1,1,NA,0,170,2,190,NA,NA,1,1
"MARKINGRAM","Mark Ingram","RB","NO",144,109.2,40,107.779474121566,104.865,133.15,85.225,76.9151553098481,NA,98.1125,106.9,84.4651553098481,99.3651553098481,128.315155309848,77.8651553098481,124.190155309848,141.375,139.1,81.6254053098481,NA,120.375,106.736713541667,107.779474121566,-12.7310481364186,21.1,22.9059578030943,5.99102581230966,2.1,3,2.55,3,121.2,1.6,126.1,7,131,114.9,15.1,2.55,3
"ANTONIOGATES","Antonio Gates","TE","SD",145,153.3,14,107.661002480977,92.105,114.125,126,97.0284504392936,NA,112.3875,104.125,102.778450439294,95.9034504392936,115.028450439294,96.7784504392936,108.153450439294,90,113.25,121.160950439294,NA,98.525,106.698583333333,107.661002480977,-10.2789106320829,14,10.8930552813162,4.01837293767931,1.1,1,1.05,1.1,125.9,1.8,122.7,3,138,127.1,21,1.05,2
"BERNARDPIERCE","Bernard Pierce","RB","BAL",146,94,41,106.801766181624,56.24,147.425,112.8,78.065,NA,114.1825,118.25,89.94,105.115,110.715,103.365,99.34,135.325,137.25,78.86655,NA,118.425,109.621842291667,106.801766181624,-13.7087560763604,20.3,24.3185022551305,6.02165679630393,2.2,7,4.6,7,121.5,1.9,126.3,7,120,86.9,9.9,4.6,5
"MARQISELEE","Marqise Lee","WR","JAC",147,152.8,60,106.381267003101,NA,107,110.5,97.325,NA,103.55,119.55,91.625,99.625,126.25,95.425,98.5,113.5,117.75,72.245,NA,115.875,105.435166666667,106.381267003101,-36.3999020087355,26.9,13.9396670345086,5.8854912754463,1,1,1,1,NA,1.4,150.3,0,204,NA,NA,1,1
"HARRYDOUGLAS","Harry Douglas","WR","ATL",148,160.6,61,106.081230653233,79.09,112.25,135.25,91.1250200263029,NA,116.65,104.875,-2.99997997369708,91.3750200263029,100.875020026303,99.8750200263029,111.875020026303,114.75,121.75,61.1704700263029,NA,113.175,105.998494761905,106.081230653233,-36.6999383586034,25.5,33.0013204134789,7.45586907850188,1,1,1,1,NA,0,170,1,198,NA,NA,1,1
"TERRANCEWEST","Terrance West","RB","CLE",149,113.6,42,105.780309848656,NA,159.1,125.25,91.7,NA,124.515,92,104.35,94.125,93.375,104.925,106,73.475,135.875,86.64705,NA,90.675,104.774090952381,105.780309848656,-14.7302124093286,24.9,22.8662555659616,6.45534698013962,1.9,8,4.95,8,121,1.5,135.5,6,124,99.4,12.2,4.95,6
"LADARIUSGREEN","Ladarius Green","TE","SD",150,138.3,15,105.641300270926,NA,112.375,129.375,97,NA,112.525,126.375,103,101.875,105,102,87.125,81.25,121,89.35375,NA,102.025,98.6246302083333,105.641300270926,-12.298612842134,20.1,14.2560148276246,5.07702836131538,1.1,2,1.55,2,129.3,1.9,140,4,155,125.6,15.4,1.55,2
"HEATHMILLER","Heath Miller","TE","PIT",151,138.9,16,105.183193806308,77.535,121.625,119.125,88.0000879492188,NA,112.275,110.125,112.250087949219,90.6250879492188,110.125087949219,94.2500879492188,89.7500879492188,104.75,111.875,102.298737949219,NA,114.25,104.603078958333,105.183193806308,-12.7567193067526,20.3,12.9692735255151,4.98401237280545,1,1,1,1,133.5,1.9,134.1,3,153,127.2,16,1,2
"MALCOMFLOYD","Malcom Floyd","WR","SD",152,160,62,104.981268569388,107.495,98.75,93.5,100.699769955316,NA,95.5,118.625,87.8247699553157,114.699769955316,101.574769955316,86.0747699553157,103.449769955316,155,125.625,104.193419955316,NA,106.4,108.895641458333,104.981268569388,-37.799900442449,26.7,17.1580162230125,6.15511152486715,1,1,1,1,NA,0,170,1,248,NA,NA,1,1
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",153,189.1,33,104.302083933122,NA,205.98,95.38,64.7891678465983,NA,115.336,110.5,58.5491678465983,105.009167846598,149.049167846598,43.7491678465983,129.949167846598,NA,126.9,59.1459678465983,NA,94.76,98.8909485714286,104.302083933122,-141.390826441964,30.8,43.9696985053713,9.11136147437085,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",154,154,63,104.284085231852,NA,102.625,98.625,101.125,NA,101.9,96.2,96,103.175,120.25,102.5,86.75,109.5,123.5,70.2725,NA,107.34,96.2745520833333,104.284085231852,-38.4970837799847,23.8,13.0037138780524,5.41816878894132,1,1,1,1,NA,1.2,151.1,1,238,NA,NA,1,1
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",155,166.3,64,103.897388221434,90.04,99.75,101.625,102.374989341499,NA,96.8875,113.25,82.9999893414991,91.2749893414991,94.7499893414991,87.3249893414991,115.124989341499,131.5,125.625,111.010989341499,NA,105.875,104.461060416667,103.897388221434,-38.8837807904024,22.4,13.9303739764026,5.33048901855898,1,1,1,1,NA,0,170,1,217,NA,NA,1,1
"JEREMYHILL","Jeremy Hill","RB","CIN",156,106.4,43,103.200380075616,NA,138.35,90.825,94.3251400000047,NA,109.0425,115.5,101.725140000005,92.2251400000046,133.925140000005,81.9001400000046,94.9251400000046,111.075,85.125,61.1031900000046,NA,108.7375,101.479871904762,103.200380075616,-17.3101421823682,18.2,20.3523707296972,5.40043427915869,2.2,7,4.6,7,123.4,1.3,133.6,5,140,117.6,13.3,4.6,5
"DELANIEWALKER","Delanie Walker","TE","TEN",157,153.3,17,102.569120297237,64.85,100.375,111,101.750236471577,NA,105.0625,114.125,106.500236471577,95.1252364715771,91.3752364715771,95.5002364715771,102.000236471577,90,117.75,112.556486471577,NA,113.175,102.541817708333,102.569120297237,-15.3707928158231,16.1,13.2719432166147,4.49447594941365,1,1,1,1,134.1,1.1,142,4,186,NA,NA,1,2
"ANDREWILLIAMS","Andre Williams","RB","NYG",158,121.9,44,100.479655498805,NA,151.775,114.575,61.3748040945911,NA,105.795,110.125,63.5748040945911,96.4998040945911,88.4998040945911,72.2748040945911,96.7498040945911,133.975,128,69.8746040945911,NA,76.3,96.2356457142857,100.479655498805,-20.0308667591795,24.7,27.8902439673125,6.89005434734599,1.8,6,3.9,6,123.6,1.6,137.6,5,136,111.5,11.6,3.9,4
"DWAYNEALLEN","Dwayne Allen","TE","IND",159,156.1,18,100.334055962359,123.485,100.625,113.25,69.375,NA,99.3625,114.525,106.625,99,110,87.125,102.5,61.75,116.25,93.13,NA,80.8,98.7358645833333,100.334055962359,-17.6058571507011,18.9,17.5332145122038,5.22888420750561,1.1,0,0.55,1.1,133.1,0,170,3,220,NA,NA,0.55,1
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",160,138.2,65,100.284691933856,NA,121.5,125.125,79.9368489392737,NA,107.1375,102.35,84.4368489392737,123.311848939274,103.686848939274,104.186848939274,96.8118489392737,43.125,127.125,69.9918489392737,NA,96.725,99.9685476190476,100.284691933856,-42.4964770779806,21.4,23.6091217994223,6.09225863951136,1,1,1,1,NA,2,170,2,177,129.9,11,1,1
"NATEWASHINGTON","Nate Washington","WR","TEN",161,187.6,66,99.4797407700883,100.46,100.375,89.5,85.1997699553157,NA,90.1375,135,80.0747699553157,75.5747699553157,85.1997699553157,68.6997699553157,85.1997699553157,154.75,114.375,116.809769955316,NA,118.5,102.10109375,99.4797407700883,-43.3014282417483,24.7,23.7431835657672,6.51089430025435,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"MILESAUSTIN","Miles Austin","WR","CLE",162,166.7,67,99.3885089840267,55.945,88.125,89.5,77.7501879815261,NA,82.8375,153.775,96.3751879815261,101.375187981526,87.0001879815261,102.375187981526,115.500187981526,114.875,126.875,114.212637981526,NA,95.525,100.519432708333,99.3885089840267,-43.3926600278099,20.4,23.0971001343811,5.92230017722832,1,1,1,1,NA,0,170,2,201,NA,NA,1,1
"MATTCASSEL","Matt Cassel","QB","MIN",163,183.1,34,99.0933754382175,2.32,40.36,115.24,126.119969062949,0.6,95.304,81.6,113.999969062949,62.0399690629488,56.8999690629488,160.359969062949,58.5999690629488,209.8,139.92,114.859219062949,NA,119.14,100.098166666667,99.0933754382175,-146.599534936868,27.4,55.7861848259128,9.77303353924097,1,0,0,0,NA,0,170,0,NA,NA,NA,0,1
"SHONNGREENE","Shonn Greene","RB","TEN",164,130.1,45,97.3214625003638,136.46,119.7,86.775,82.45,NA,96.1325,70.625,85.35,64.175,79.05,71,109.675,151.9,111.175,97.85725,NA,118.1375,97.7640364583333,97.3214625003638,-23.1890597576207,26.5,25.4619279093573,6.88969778140244,1,1,1,1,NA,1.4,129.1,4,169,NA,NA,1,1
"ROBERTWOODS","Robert Woods","WR","BUF",165,166.6,68,97.15308289662,71.34,93.375,96.875,85.1251213820913,NA,97.225,93.5,109.625121382091,95.9001213820913,98.9001213820913,94.6251213820913,97.1501213820913,97.125,137.825,98.5589213820913,NA,80.815,98.2840266666667,97.15308289662,-45.6280861152166,24.7,14.4483381483446,5.6610793265283,1,1,1,1,NA,0,170,2,257,NA,NA,1,1
"ODELLBECKHAM","Odell Beckham","WR","NYG",166,166.3,69,95.4543177331571,NA,92,102.75,96.500246812172,NA,96.3,80.375,85.975246812172,77.250246812172,99.750246812172,102.875246812172,96.125246812172,112.125,106.125,56.643996812172,NA,92.425,94.8624404761905,95.4543177331571,-47.3268512786795,28.6,14.1076612444157,6.11019729553552,1,1,1,1,NA,0,170,0,242,NA,NA,1,1
"MIKEWILLIAMS","Mike Williams","WR","BUF",167,164.2,70,95.1165412557804,116.08,85.375,93.5,103.6600585091,NA,89.1875,108.075,72.2850585091,92.9100585091,113.6600585091,84.9100585091,78.1600585091,109.875,123.25,61.6264085091,NA,113.2,97.0122439583333,95.1165412557804,-47.6646277560562,23.7,17.9454887996229,5.85767399274269,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",168,125.8,46,94.7364471595652,NA,151.3,118.175,58.6,NA,107.7275,91,75.825,86.875,101.75,98.8,125.75,NA,114.65,65.738,NA,87.9,97.53575,94.7364471595652,-25.7740750984193,21.7,25.4237472762003,6.29511086611003,2,6,4,6,123.8,1.8,135.3,3,139,103.4,10.3,4,5
"CARLOSHYDE","Carlos Hyde","RB","SF",169,120.3,47,94.3795743333682,NA,139.8,106.45,78,NA,102.45,88.125,64.875,79.875,109.5,73.025,5.125,115.05,127,46.093,NA,88.025,86.6104666666667,94.3795743333682,-26.1309479246163,25.5,34.5204693327097,7.59476278150657,1.6,10,5.8,10,113.5,2.2,127.2,5,122,91.6,9.7,5.8,6
"JAREDCOOK","Jared Cook","TE","STL",170,171.1,19,93.6196405390701,146.145,89.875,83.75,82.1252064826682,NA,88.8125,101.875,101.500206482668,92.1252064826682,98.5002064826682,79.1252064826682,86.6252064826682,84.75,106.625,104.617706482668,NA,97.6,97.433375,93.6196405390701,-24.3202725739902,17.2,16.3010325574165,4.90688096085254,1.2,0,0.6,1.2,130.6,0,170,2,227,NA,NA,0.6,1
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",171,184.8,71,93.6040074136992,126.145,94.15,90.9,90.299915359038,2.4,89.35,95.35,76.024915359038,82.574915359038,101.149915359038,53.849915359038,79.899915359038,108.025,97.075,88.507415359038,NA,99.095,92.32068125,93.6040074136992,-49.1771615981374,8.8,27.0864937662456,4.85856269621716,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"CHRISIVORY","Chris Ivory","RB","NYJ",172,NA,48,92.730483503368,84.875,116.875,77.125,87.5751106762976,NA,93.36,93.875,88.2251106762976,76.8001106762976,109.625110676298,85.7751106762976,104.250110676298,122.525,119.35,85.5481106762976,NA,89.1,95.8582291666667,92.730483503368,-27.7800387546165,NA,15.0937709660377,4.72346793410316,3.2,4,3.6,4,126.6,2,120.3,5,147,128.4,15,3.6,4
"MARVINJONES","Marvin Jones","WR","CIN",173,149.5,72,91.9175864274187,148.035,96.25,109.375,86.8949475759154,NA,98.4625,110.35,84.6199475759154,67.3449475759154,67.9699475759154,61.3449475759154,87.9699475759154,79,94.675,72.6655475759154,NA,112.46,95.8658220833333,91.9175864274187,-50.8635825844179,37.1,22.4058662867676,7.91562350506246,1.3,7,4.15,7,115.7,0,170,0,170,NA,NA,4.15,5
"AARONDOBSON","Aaron Dobson","WR","NE",174,140.3,73,91.532135239699,42.345,107.125,55.125,104.447157095819,NA,80.75,126.95,51.8221570958193,36.6971570958193,95.0721570958193,99.6971570958193,41.4471570958193,102.75,134.875,89.8971570958193,NA,110.45,89.01925,91.532135239699,-51.2490337721377,30.1,32.1588896103884,7.94531389277326,1,1,1,1,NA,0,170,2,210,NA,NA,1,1
"TRAVISKELCE","Travis Kelce","TE","KC",175,158.9,20,91.4873045742103,NA,97.375,107.125,73.75,NA,92.225,69.875,83.625,98,96.5,85.875,105,37.875,105.25,NA,NA,100,82.6226190476191,91.4873045742103,-26.4526085388499,20.6,19.2278971092418,5.5931732538134,1,1,1,1,NA,0,170,3,215,NA,NA,1,1
"DONNIEAVERY","Donnie Avery","WR","KC",176,183.6,74,90.8097176495208,82.895,93.75,87.125,96.0118489392737,NA,91.0875,90.95,81.9368489392737,97.5868489392737,76.0618489392737,66.7618489392737,91.0618489392737,101.5,112.85,88.5262489392737,NA,99.705,91.2515404166667,90.8097176495208,-51.9714513623158,9.9,11.0701909362465,3.52967361180227,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"TYLEREIFERT","Tyler Eifert","TE","CIN",177,160.7,21,88.9429363180559,33.99,94.75,72.875,79.5607064839396,NA,84.5875,95.625,88.8107064839396,86.4357064839396,98.4357064839396,95.1857064839396,114.06070648394,89.875,117.25,76.2907064839396,NA,77.875,88.2757604166667,88.9429363180559,-28.9969767950043,18.6,19.383553976311,5.36111470096028,1,1,1,1,132.6,0,170,3,240,NA,NA,1,2
"ERICEBRON","Eric Ebron","TE","DET",178,168.3,22,88.5001100378878,NA,97.625,111.75,83.5,NA,95.2375,86.5,78.625,83,90.25,88,77.375,92.125,102.25,65.785,NA,90.7,89.3964523809524,88.5001100378878,-29.4398030751724,20.2,11.351348090355,4.82377316602666,1.4,0,0.7,1.4,128.1,1.7,135.6,2,152,124.2,20.6,0.7,1
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",179,139.1,49,87.6497122375361,90.385,93.7,74.85,57.1449841520883,NA,81.955,110.75,94.1949841520883,72.6449841520883,90.1949841520883,63.3699841520883,98.1949841520883,162.95,104.9,65.0369841520883,NA,82.9,89.6626875,87.6497122375361,-32.8608100204484,22.6,25.5334679045301,6.41597299380148,1,1,1,1,NA,1.1,145,3,194,NA,NA,1,1
"GARRETTGRAHAM","Garrett Graham","TE","HOU",180,161.1,23,87.3065059185845,91.95,90.625,86.625,74.1250297031495,NA,83.9,117.75,90.3750297031495,83.5000297031495,80.0000297031495,76.2500297031495,99.7500297031495,87.625,109,84.7150297031495,NA,92.525,89.8093958333333,87.3065059185845,-30.6334071944757,17.5,11.6564588973899,4.51917746562651,1,1,1,1,137.1,0,170,2,234,NA,NA,1,2
"ANDREHOLMES","Andre Holmes","WR","OAK",181,167.9,75,85.9375009791894,NA,77.625,100,69.875,NA,83.6375,58.025,81.875,35.275,86.125,73.325,85.25,111.25,120.5,NA,NA,103.025,81.5987662337662,85.9375009791894,-56.8436680326472,26.6,22.5526375916376,6.63601985849188,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",182,176.3,50,85.1773517532087,84.395,117.425,90.15,95.0648297403687,3.6,97.52375,49.6,76.3398297403687,81.9148297403687,67.6148297403687,60.7148297403687,66.2398297403687,3.6,3.6,72.7550797403687,NA,96.05,83.2504102564103,85.1773517532087,-35.3331705047758,19.8,35.2961750919829,6.9637578622097,1,1,1,1,NA,1.2,142.7,2,202,NA,NA,1,1
"KHIRYROBINSON","Khiry Robinson","RB","NO",183,141.2,51,83.8524896737901,NA,NA,NA,101.55,NA,98.91,63.25,105,85.05,85.5,79.3,55.375,23.525,121.825,56.127,NA,64.425,78.9474615384615,83.8524896737901,-36.6580325841943,25.6,27.1486888152331,6.93308549749306,1.3,1,1.15,1.3,123.5,2.5,113.1,5,135,128,13.1,1.15,2
"COBYFLEENER","Coby Fleener","TE","IND",184,177.6,24,83.6046309840165,119.25,92.025,70.9,82.8236301022248,0.4,81.5375,64.025,77.0736301022248,85.4486301022248,85.1986301022248,76.5736301022248,92.0736301022248,76.75,94.625,84.2073801022247,NA,82.9,86.999578125,83.6046309840165,-34.3352821290437,16.7,24.2630630452019,5.57326598108465,1,1,1,1,135.8,1.6,137.4,0,209,NA,NA,1,2
"LANCEMOORE","Lance Moore","WR","PIT",185,191.2,76,82.8846603796841,66.255,88.375,96.375,85.2100781080035,NA,86.85,81.375,67.8350781080035,65.9600781080035,57.4600781080035,77.5850781080035,78.4600781080035,139.125,89.75,82.0500781080035,NA,89.375,84.604875,82.8846603796841,-59.8965086321525,31.3,18.835555286181,6.87495372925234,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"STEVEJOHNSON","Steve Johnson","WR","SF",186,170.1,77,82.8359564398969,106.82,96.875,58.25,94.7502064826682,NA,79.4375,77.175,69.7502064826682,75.3752064826682,85.8752064826682,79.0752064826682,83.7502064826682,92.5,95.1,85.7646064826682,NA,38.95,83.2515904166667,82.8359564398969,-59.9452125719397,21.3,16.810429978182,5.4583490646364,1,1,1,1,NA,1.3,147,0,208,NA,NA,1,1
"KNILEDAVIS","Knile Davis","RB","KC",187,159.9,52,81.826919667818,80.045,91.275,86.55,71.4452892975035,6.6,83.2275,91.25,72.4952892975035,72.9202892975035,98.2452892975035,65.7702892975035,40.4952892975035,102.2,111.4,61.8422892975035,NA,68.3,80.0301333333333,81.826919667818,-38.6836025901665,20.2,25.2390829117369,6.09350972132482,1,1,1,1,NA,1.1,143.1,3,184,NA,NA,1,1
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",188,138.5,53,81.4811840021689,52.44,89.6,76.125,48.3009356534292,NA,72.0375,99.25,63.1509356534292,72.9509356534292,91.6759356534292,62.4759356534292,97.9259356534292,147.825,106.625,65.1456856534292,NA,94.475,82.0670989583333,81.4811840021689,-39.0293382558156,19.3,25.4059528465203,5.99793588962635,1,1,1,1,NA,1.2,146.9,3,182,127.1,16.8,1,1
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",189,136,54,80.5627802073457,36.44,135.45,78.05,59.9001589260831,NA,88.29,107.25,61.1501589260831,62.0251589260831,73.8001589260831,65.4001589260831,85.4251589260831,90.475,103.575,68.6533589260831,NA,67.4625,78.42250875,80.5627802073457,-39.9477420506388,23.7,24.0292363774754,6.41390269325853,2.8,5,3.9,5,122.3,1.2,136.7,3,146,129.4,14.3,3.9,4
"ANDREROBERTS","Andre Roberts","WR","WAS",190,194.8,78,80.4110799240684,20.71,87.675,76.175,94.0048379681605,1.8,82.7,66.85,70.9298379681605,70.8048379681605,88.4298379681605,61.1298379681605,73.1798379681605,85.675,95.675,0.179837968160521,NA,101.3,78.470367965368,80.4110799240684,-62.3700890877682,24.5,31.8891357842576,7.23103853919859,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",191,175.7,79,80.1676583888818,39.13,99.875,99.25,80.2999100345009,NA,92.9125,80.9,77.0249100345009,84.9999100345009,82.6499100345009,72.2499100345009,65.6499100345009,85.625,82.95,75.8057600345009,NA,72.475,80.1173533333333,80.1676583888818,-62.6135106229548,25.3,14.6884408560804,5.75691860197058,1,1,1,1,NA,0,170,0,253,NA,NA,1,1
