Player,Action,,Proj Value,Avg Cost,Percent Drafted
Arian Foster,The drop action is disabled,Add to Watch List,$42 ,$50.50 ,100%
(Hou - RB),,,,,
P,,,,,
No new player Notes,,,,,
Ray Rice,The drop action is disabled,Add to Watch List,$41 ,$49.30 ,100%
(Bal - RB),,,,,
No new player Notes,,,,,
LeSean McCoy,The trade action is disabled,Add to Watch List,$41 ,$49.10 ,100%
(Phi - RB),,,,,
No new player Notes,,,,,
Aaron Rodgers,The trade action is disabled,Add to Watch List,$37 ,$48.10 ,100%
(GB - QB),,,,,
No new player Notes,,,,,
Calvin Johnson,The trade action is disabled,Add to Watch List,$39 ,$48.30 ,100%
(Det - WR),,,,,
P,,,,,
No new player Notes,,,,,
Tom Brady,The trade action is disabled,Add to Watch List,$29 ,$37.90 ,100%
(NE - QB),,,,,
New Player Note,,,,,
Drew Brees,The trade action is disabled,Add to Watch List,$32 ,$38.40 ,100%
(NO - QB),,,,,
No new player Notes,,,,,
Chris Johnson,The trade action is disabled,Add to Watch List,$36 ,$40.10 ,100%
(Ten - RB),,,,,
Q,,,,,
No new player Notes,,,,,
Darren McFadden,The trade action is disabled,Add to Watch List,$30 ,$34.10 ,100%
(Oak - RB),,,,,
No new player Notes,,,,,
Larry Fitzgerald,The trade action is disabled,Add to Watch List,$37 ,$39.80 ,100%
(Ari - WR),,,,,
No new player Notes,,,,,
Jimmy Graham,The trade action is disabled,Add to Watch List,$28 ,$31.90 ,100%
(NO - TE),,,,,
P,,,,,
No new player Notes,,,,,
Cam Newton,The trade action is disabled,Add to Watch List,$29 ,$33.20 ,100%
(Car - QB),,,,,
No new player Notes,,,,,
Rob Gronkowski,The trade action is disabled,Add to Watch List,$27 ,$32.30 ,100%
(NE - TE),,,,,
Q,,,,,
Player Note,,,,,
Matt Forte,The trade action is disabled,Add to Watch List,$25 ,$28.50 ,100%
(Chi - RB),,,,,
P,,,,,
No new player Notes,,,,,
Maurice Jones-Drew,The trade action is disabled,Add to Watch List,$36 ,$38.40 ,100%
(Jac - RB),,,,,
No new player Notes,,,,,
Matthew Stafford,The trade action is disabled,Add to Watch List,$27 ,$30.70 ,100%
(Det - QB),,,,,
No new player Notes,,,,,
Ryan Mathews,The drop action is disabled,Add to Watch List,$39 ,$40.50 ,100%
(SD - RB),,,,,
No new player Notes,,,,,
Marshawn Lynch,The trade action is disabled,Add to Watch List,$25 ,$26.50 ,100%
(Sea - RB),,,,,
P,,,,,
No new player Notes,,,,,
Victor Cruz,The trade action is disabled,Add to Watch List,$30 ,$32.20 ,100%
(NYG - WR),,,,,
No new player Notes,,,,,
A.J. Green,The trade action is disabled,Add to Watch List,$27 ,$29.60 ,100%
(Cin - WR),,,,,
No new player Notes,,,,,
Roddy White,The trade action is disabled,Add to Watch List,$32 ,$33.70 ,100%
(Atl - WR),,,,,
Q,,,,,
No new player Notes,,,,,
Adrian Peterson,The trade action is disabled,Add to Watch List,$27 ,$30.80 ,100%
(Min - RB),,,,,
P,,,,,
No new player Notes,,,,,
Trent Richardson,The trade action is disabled,Add to Watch List,$32 ,$32.70 ,100%
(Cle - RB),,,,,
O,,,,,
No new player Notes,,,,,
DeMarco Murray,The trade action is disabled,Add to Watch List,$23 ,$24.60 ,100%
(Dal - RB),,,,,
P,,,,,
No new player Notes,,,,,
Andre Johnson,The trade action is disabled,Add to Watch List,$28 ,$31.30 ,100%
(Hou - WR),,,,,
No new player Notes,,,,,
Brandon Marshall,The trade action is disabled,Add to Watch List,$30 ,$32.10 ,100%
(Chi - WR),,,,,
No new player Notes,,,,,
Jamaal Charles,The trade action is disabled,Add to Watch List,$21 ,$22.20 ,100%
(KC - RB),,,,,
P,,,,,
No new player Notes,,,,,
Julio Jones,The trade action is disabled,Add to Watch List,$25 ,$28.70 ,100%
(Atl - WR),,,,,
No new player Notes,,,,,
Greg Jennings,The trade action is disabled,Add to Watch List,$28 ,$30.20 ,100%
(GB - WR),,,,,
Player Note,,,,,
Wes Welker,The trade action is disabled,Add to Watch List,$25 ,$27.80 ,100%
(NE - WR),,,,,
Q,,,,,
Player Note,,,,,
Jordy Nelson,The trade action is disabled,Add to Watch List,$23 ,$26.10 ,100%
(GB - WR),,,,,
P,,,,,
No new player Notes,,,,,
Hakeem Nicks,The drop action is disabled,Add to Watch List,$25 ,$25.60 ,100%
(NYG - WR),,,,,
Q,,,,,
Player Note,,,,,
Mike Wallace,The trade action is disabled,Add to Watch List,$26 ,$26.10 ,100%
(Pit - WR),,,,,
No new player Notes,,,,,
Steve Smith,The trade action is disabled,Add to Watch List,$24 ,$23.70 ,100%
(Car - WR),,,,,
P,,,,,
No new player Notes,,,,,
Steven Jackson,The trade action is disabled,Add to Watch List,$17 ,$17.10 ,100%
(StL - RB),,,,,
P,,,,,
Player Note,,,,,
Fred Jackson,The trade action is disabled,Add to Watch List,$20 ,$19.10 ,100%
(Buf - RB),,,,,
No new player Notes,,,,,
Marques Colston,The trade action is disabled,Add to Watch List,$22 ,$20.70 ,100%
(NO - WR),,,,,
New Player Note,,,,,
Percy Harvin,The trade action is disabled,Add to Watch List,$20 ,$18.50 ,100%
(Min - WR),,,,,
No new player Notes,,,,,
Jeremy Maclin,The trade action is disabled,Add to Watch List,$23 ,$19.90 ,100%
(Phi - WR),,,,,
P,,,,,
No new player Notes,,,,,
Michael Turner,The trade action is disabled,Add to Watch List,$18 ,$18.30 ,100%
(Atl - RB),,,,,
No new player Notes,,,,,
Miles Austin,The trade action is disabled,Add to Watch List,$24 ,$22.00 ,100%
(Dal - WR),,,,,
Player Note,,,,,
Antonio Gates,The trade action is disabled,Add to Watch List,$19 ,$19.50 ,100%
(SD - TE),,,,,
No new player Notes,,,,,
Dez Bryant,The trade action is disabled,Add to Watch List,$22 ,$20.70 ,100%
(Dal - WR),,,,,
P,,,,,
No new player Notes,,,,,
Michael Vick,The trade action is disabled,Add to Watch List,$17 ,$18.30 ,100%
(Phi - QB),,,,,
No new player Notes,,,,,
Brandon Lloyd,The trade action is disabled,Add to Watch List,$17 ,$15.30 ,100%
(NE - WR),,,,,
Q,,,,,
New Player Note,,,,,
Eli Manning,The trade action is disabled,Add to Watch List,$13 ,$13.50 ,100%
(NYG - QB),,,,,
No new player Notes,,,,,
Doug Martin,The trade action is disabled,Add to Watch List,$18 ,$15.50 ,100%
(TB - RB),,,,,
No new player Notes,,,,,
Demaryius Thomas,The trade action is disabled,Add to Watch List,$23 ,$20.30 ,100%
(Den - WR),,,,,
No new player Notes,,,,,
Aaron Hernandez,The trade action is disabled,Add to Watch List,$17 ,$16.80 ,100%
(NE - TE),,,,,
Q,,,,,
No new player Notes,,,,,
Vernon Davis,The trade action is disabled,Add to Watch List,$15 ,$14.70 ,100%
(SF - TE),,,,,
Q,,,,,
No new player Notes,,,,,
Antonio Brown,The trade action is disabled,Add to Watch List,$14 ,$12.90 ,100%
(Pit - WR),,,,,
New Player Note,,,,,
Dwayne Bowe,The trade action is disabled,Add to Watch List,$17 ,$14.90 ,100%
(KC - WR),,,,,
No new player Notes,,,,,
Peyton Manning,The trade action is disabled,Add to Watch List,$13 ,$14.40 ,100%
(Den - QB),,,,,
No new player Notes,,,,,
Darren Sproles,The trade action is disabled,Add to Watch List,$16 ,$13.00 ,100%
(NO - RB),,,,,
No new player Notes,,,,,
Jermichael Finley,The trade action is disabled,Add to Watch List,$15 ,$13.80 ,100%
(GB - TE),,,,,
P,,,,,
Player Note,,,,,
Eric Decker,The trade action is disabled,Add to Watch List,$13 ,$11.50 ,100%
(Den - WR),,,,,
No new player Notes,,,,,
Vincent Jackson,The drop action is disabled,Add to Watch List,$15 ,$13.20 ,100%
(TB - WR),,,,,
No new player Notes,,,,,
Frank Gore,The trade action is disabled,Add to Watch List,$12 ,$12.50 ,100%
(SF - RB),,,,,
P,,,,,
No new player Notes,,,,,
Stevie Johnson,The trade action is disabled,Add to Watch List,$14 ,$12.30 ,100%
(Buf - WR),,,,,
No new player Notes,,,,,
Reggie Bush,The trade action is disabled,Add to Watch List,$14 ,$11.00 ,100%
(Mia - RB),,,,,
Player Note,,,,,
Tony Romo,The drop action is disabled,Add to Watch List,$13 ,$12.10 ,100%
(Dal - QB),,,,,
No new player Notes,,,,,
Matt Ryan,The drop action is disabled,Add to Watch List,$10 ,$10.30 ,100%
(Atl - QB),,,,,
No new player Notes,,,,,
DeSean Jackson,The add action is disabled,Add to Watch List,$13 ,$12.70 ,100%
(Phi - WR),,,,,
No new player Notes,,,,,
Ahmad Bradshaw,The drop action is disabled,Add to Watch List,$14 ,$11.00 ,100%
(NYG - RB),,,,,
P,,,,,
No new player Notes,,,,,
Fred Davis,The add action is disabled,Add to Watch List,$15 ,$10.90 ,100%
(Was - TE),,,,,
Player Note,,,,,
Jason Witten,The trade action is disabled,Add to Watch List,$12 ,$9.90 ,100%
(Dal - TE),,,,,
No new player Notes,,,,,
Brandon Pettigrew,The drop action is disabled,Add to Watch List,$7 ,$5.50 ,100%
(Det - TE),,,,,
D,,,,,
No new player Notes,,,,,
Sebastian Janikowski,The add action is disabled,Add to Watch List,$1 ,$2.90 ,100%
(Oak - K),,,,,
No new player Notes,,,,,
Philip Rivers,The trade action is disabled,Add to Watch List,$12 ,$10.00 ,100%
(SD - QB),,,,,
No new player Notes,,,,,
Mason Crosby,The add action is disabled,Add to Watch List,$1 ,$2.80 ,100%
(GB - K),,,,,
P,,,,,
No new player Notes,,,,,
Torrey Smith,The trade action is disabled,Add to Watch List,$12 ,$8.90 ,100%
(Bal - WR),,,,,
P,,,,,
No new player Notes,,,,,
David Akers,The trade action is disabled,Add to Watch List,$1 ,$2.90 ,100%
(SF - K),,,,,
Player Note,,,,,
Robert Griffin III,The trade action is disabled,Add to Watch List,$11 ,$10.10 ,100%
(Was - QB),,,,,
P,,,,,
Player Note,,,,,
Kenny Britt,The trade action is disabled,Add to Watch List,$20 ,$16.00 ,100%
(Ten - WR),,,,,
P,,,,,
No new player Notes,,,,,
Pierre Garcon,The trade action is disabled,Add to Watch List,$11 ,$6.90 ,100%
(Was - WR),,,,,
P,,,,,
No new player Notes,,,,,
Tony Gonzalez,The trade action is disabled,Add to Watch List,$7 ,$5.70 ,100%
(Atl - TE),,,,,
No new player Notes,,,,,
Stephen Gostkowski,The trade action is disabled,Add to Watch List,$1 ,$2.50 ,100%
(NE - K),,,,,
No new player Notes,,,,,
BenJarvus Green-Ellis,The trade action is disabled,Add to Watch List,$11 ,$6.70 ,99%
(Cin - RB),,,,,
P,,,,,
No new player Notes,,,,,
Willis McGahee,The add action is disabled,Add to Watch List,$10 ,$5.80 ,98%
(Den - RB),,,,,
No new player Notes,,,,,
Reggie Wayne,The trade action is disabled,Add to Watch List,$11 ,$8.00 ,100%
(Ind - WR),,,,,
No new player Notes,,,,,
Shonn Greene,The trade action is disabled,Add to Watch List,$11 ,$6.30 ,98%
(NYJ - RB),,,,,
Player Note,,,,,
Beanie Wells,The trade action is disabled,Add to Watch List,$11 ,$6.00 ,90%
(Ari - RB),,,,,
Player Note,,,,,
Ben Roethlisberger,The trade action is disabled,Add to Watch List,$10 ,$6.20 ,100%
(Pit - QB),,,,,
Player Note,,,,,
Jay Cutler,The add action is disabled,Add to Watch List,$11 ,$7.00 ,100%
(Chi - QB),,,,,
No new player Notes,,,,,
Jonathan Stewart,The trade action is disabled,Add to Watch List,$11 ,$4.50 ,94%
(Car - RB),,,,,
O,,,,,
No new player Notes,,,,,
Peyton Hillis,The trade action is disabled,Add to Watch List,$10 ,$4.50 ,92%
(KC - RB),,,,,
No new player Notes,,,,,
Robert Meachem,The trade action is disabled,Add to Watch List,$12 ,$6.40 ,100%
(SD - WR),,,,,
No new player Notes,,,,,
Dan Bailey,The add action is disabled,Add to Watch List,$1 ,$1.60 ,100%
(Dal - K),,,,,
No new player Notes,,,,,
