"name","name_fbg1","pos","team_fbg1","overallRank_fbg1","passAtt_fbg1","passComp_fbg1","passYds_fbg1","passTds_fbg1","passInt_fbg1","rushAtt_fbg1","rushYds_fbg1","rushTds_fbg1","rec_fbg1","recYds_fbg1","recTds_fbg1","twoPts_fbg1","fumbles_fbg1","pts_fbg1"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,620,415,4929,43,12,24,7,0,NA,NA,NA,NA,NA,407.15
"DREWBREES","Drew Brees","QB","NO",2,610,401,4813,39,16,22,44,1,NA,NA,NA,NA,NA,391.05
"AARONRODGERS","Aaron Rodgers","QB","GB",3,557,360,4411,35,13,52,224,3,NA,NA,NA,NA,NA,387.95
"ANDREWLUCK","Andrew Luck","QB","IND",4,610,365,4423,27,13,62,338,2,NA,NA,NA,NA,NA,361.95
"NICKFOLES","Nick Foles","QB","PHI",5,540,361,4315,29,14,70,277,2,NA,NA,NA,NA,NA,357.45
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",6,635,374,4629,32,19,34,102,1,NA,NA,NA,NA,NA,356.65
"CAMNEWTON","Cam Newton","QB","CAR",7,492,302,3469,23,13,107,583,6,NA,NA,NA,NA,NA,346.75
"TOMBRADY","Tom Brady","QB","NE",8,610,385,4471,31,13,33,33,0,NA,NA,NA,NA,NA,337.85
"MATTRYAN","Matt Ryan","QB","ATL",9,613,391,4383,30,16,32,80,1,NA,NA,NA,NA,NA,337.15
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",10,460,294,3496,23,9,85,480,5,NA,NA,NA,NA,NA,335.8
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",11,515,321,3790,22,14,80,440,4,NA,NA,NA,NA,NA,331.5
"TONYROMO","Tony Romo","QB","DAL",12,555,351,4140,30,14,24,38,1,NA,NA,NA,NA,NA,322.8
"RUSSELLWILSON","Russell Wilson","QB","SEA",13,432,287,3413,25,10,82,439,3,NA,NA,NA,NA,NA,322.55
"JAYCUTLER","Jay Cutler","QB","CHI",14,560,342,4032,28,15,29,116,1,NA,NA,NA,NA,NA,316.2
"PHILIPRIVERS","Philip Rivers","QB","SD",15,560,369,4256,28,14,30,30,0,NA,NA,NA,NA,NA,313.8
"ANDYDALTON","Andy Dalton","QB","CIN",16,535,330,3793,29,19,54,132,1,NA,NA,NA,NA,NA,305.85
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",17,548,341,3978,26,14,27,100,1,NA,NA,NA,NA,NA,304.9
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",18,558,338,3744,23,16,45,178,1,NA,NA,NA,NA,NA,287
"JOEFLACCO","Joe Flacco","QB","BAL",19,585,348,3902,24,18,29,67,1,NA,NA,NA,NA,NA,285.8
"ALEXSMITH","Alex Smith","QB","KC",20,526,320,3382,22,11,61,271,2,NA,NA,NA,NA,NA,285.2
"CARSONPALMER","Carson Palmer","QB","ARI",21,555,342,3990,25,21,26,16,0,NA,NA,NA,NA,NA,280.1
"ELIMANNING","Eli Manning","QB","NYG",22,565,328,3961,23,20,21,32,1,NA,NA,NA,NA,NA,279.25
"GENOSMITH","Geno Smith","QB","NYJ",23,470,281,3252,18,13,70,347,3,NA,NA,NA,NA,NA,274.3
"JAMAALCHARLES","Jamaal Charles","RB","KC",24,NA,NA,NA,NA,NA,255,1275,11,63,517,4,NA,NA,269.2
"JAKELOCKER","Jake Locker","QB","TEN",25,505,289,3257,19,15,60,393,1,NA,NA,NA,NA,NA,269.15
"EJMANUEL","EJ Manuel","QB","BUF",26,508,291,3261,20,16,64,243,2,NA,NA,NA,NA,NA,263.35
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",27,470,301,3083,17,17,70,368,3,NA,NA,NA,NA,NA,259.95
"SAMBRADFORD","Sam Bradford","QB","STL",28,503,290,3345,21,12,30,75,1,NA,NA,NA,NA,NA,252.75
"JOSHMCCOWN","Josh McCown","QB","TB",29,461,269,3273,21,14,27,122,1,NA,NA,NA,NA,NA,251.85
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",30,450,281,3240,17,13,43,170,2,NA,NA,NA,NA,NA,246
"LESEANMCCOY","LeSean McCoy","RB","PHI",31,NA,NA,NA,NA,NA,295,1357,10,41,312,2,NA,NA,238.9
"ADRIANPETERSON","Adrian Peterson","RB","MIN",32,NA,NA,NA,NA,NA,290,1349,12,31,211,1,NA,NA,234
"CALVINJOHNSON","Calvin Johnson","WR","DET",33,NA,NA,NA,NA,NA,0,0,0,91,1492,13,NA,NA,227.2
"MATTSCHAUB","Matt Schaub","QB","OAK",34,474,280,3365,18,15,17,12,0,NA,NA,NA,NA,NA,226.45
"MATTFORTE","Matt Forte","RB","CHI",35,NA,NA,NA,NA,NA,270,1188,8,57,445,2,NA,NA,223.3
"EDDIELACY","Eddie Lacy","RB","GB",36,NA,NA,NA,NA,NA,285,1183,10,36,270,1,NA,NA,211.3
"MONTEEBALL","Montee Ball","RB","DEN",37,NA,NA,NA,NA,NA,240,1080,11,35,263,1,NA,NA,206.3
"ARIANFOSTER","Arian Foster","RB","HOU",38,NA,NA,NA,NA,NA,250,1050,8,49,387,2,NA,NA,203.7
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",39,NA,NA,NA,NA,NA,260,1079,10,26,221,2,NA,NA,202
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",40,NA,NA,NA,NA,NA,0,0,0,89,1353,11,NA,NA,201.3
"DEZBRYANT","Dez Bryant","WR","DAL",41,NA,NA,NA,NA,NA,1,4,0,91,1247,12,NA,NA,197.1
"AJGREEN","A.J. Green","WR","CIN",42,NA,NA,NA,NA,NA,0,0,0,90,1278,11,NA,NA,193.8
"LEVEONBELL","LeVeon Bell","RB","PIT",43,NA,NA,NA,NA,NA,265,1034,8,40,320,1,NA,NA,189.4
"JIMMYGRAHAM","Jimmy Graham","TE","NO",44,NA,NA,NA,NA,NA,NA,NA,NA,84,1084,13,NA,NA,186.4
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",45,NA,NA,NA,NA,NA,200,820,6,58,493,3,NA,NA,185.3
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",46,NA,NA,NA,NA,NA,215,946,8,40,288,2,NA,NA,183.4
"JULIOJONES","Julio Jones","WR","ATL",47,NA,NA,NA,NA,NA,1,6,0,87,1227,10,NA,NA,183.3
"CHADHENNE","Chad Henne","QB","JAX",48,400,233,2560,14,13,22,62,1,NA,NA,NA,NA,NA,183.2
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",49,NA,NA,NA,NA,NA,1,5,0,95,1226,10,NA,NA,183.1
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",50,NA,NA,NA,NA,NA,NA,NA,NA,77,1093,12,NA,NA,181.3
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",51,NA,NA,NA,NA,NA,14,91,1,82,1173,8,NA,NA,180.4
"ANTONIOBROWN","Antonio Brown","WR","PIT",52,NA,NA,NA,NA,NA,6,21,0,90,1226,9,NA,NA,178.7
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",53,375,227,2505,15,14,30,60,0,NA,NA,NA,NA,NA,177.25
"ALFREDMORRIS","Alfred Morris","RB","WAS",54,NA,NA,NA,NA,NA,265,1179,8,14,111,0,NA,NA,177
"JORDYNELSON","Jordy Nelson","WR","GB",55,NA,NA,NA,NA,NA,0,0,0,74,1169,10,NA,NA,176.9
"DOUGMARTIN","Doug Martin","RB","TB",56,NA,NA,NA,NA,NA,225,934,8,30,210,2,NA,NA,174.4
"REGGIEBUSH","Reggie Bush","RB","DET",57,NA,NA,NA,NA,NA,195,839,5,50,450,2,NA,NA,170.9
"RANDALLCOBB","Randall Cobb","WR","GB",58,NA,NA,NA,NA,NA,10,130,1,76,1026,8,NA,NA,169.6
"RASHADJENNINGS","Rashad Jennings","RB","NYG",59,NA,NA,NA,NA,NA,210,861,6,42,315,2,NA,NA,165.6
"VINCENTJACKSON","Vincent Jackson","WR","TB",60,NA,NA,NA,NA,NA,1,0,0,75,1230,7,NA,NA,165
"JOIQUEBELL","Joique Bell","RB","DET",61,NA,NA,NA,NA,NA,157,620,8,47,428,2,NA,NA,164.8
"ZACSTACY","Zac Stacy","RB","STL",62,NA,NA,NA,NA,NA,240,984,7,25,180,1,NA,NA,164.4
"RYANMATHEWS","Ryan Mathews","RB","SD",63,NA,NA,NA,NA,NA,240,1008,6,29,206,1,NA,NA,163.4
"ANDREELLINGTON","Andre Ellington","RB","ARI",64,NA,NA,NA,NA,NA,195,790,5,47,395,2,NA,NA,160.5
"LAMARMILLER","Lamar Miller","RB","MIA",65,NA,NA,NA,NA,NA,210,861,6,36,252,2,NA,NA,159.3
"CJSPILLER","C.J. Spiller","RB","BUF",66,NA,NA,NA,NA,NA,190,874,5,39,285,2,NA,NA,157.9
"FRANKGORE","Frank Gore","RB","SF",67,NA,NA,NA,NA,NA,210,872,8,22,161,1,NA,NA,157.3
"TOBYGERHART","Toby Gerhart","RB","JAX",68,NA,NA,NA,NA,NA,210,861,6,36,263,1,NA,NA,154.4
"VICTORCRUZ","Victor Cruz","WR","NYG",69,NA,NA,NA,NA,NA,0,0,0,81,1118,7,NA,NA,153.8
"ANDREJOHNSON","Andre Johnson","WR","HOU",70,NA,NA,NA,NA,NA,0,0,0,90,1170,6,NA,NA,153
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",70,NA,NA,NA,NA,NA,12,132,1,74,918,7,NA,NA,153
"KEENANALLEN","Keenan Allen","WR","SD",72,NA,NA,NA,NA,NA,0,0,0,78,1100,7,NA,NA,152
"BISHOPSANKEY","Bishop Sankey","RB","TEN",73,NA,NA,NA,NA,NA,200,820,7,24,180,1,NA,NA,148
"CHRISJOHNSON","Chris Johnson","RB","NYJ",74,NA,NA,NA,NA,NA,210,851,5,33,264,1,NA,NA,147.5
"PIERREGARCON","Pierre Garcon","WR","WAS",75,NA,NA,NA,NA,NA,2,12,0,87,1096,6,NA,NA,146.8
"PERCYHARVIN","Percy Harvin","WR","SEA",76,NA,NA,NA,NA,NA,40,240,1,69,794,6,NA,NA,145.4
"MICHAELFLOYD","Michael Floyd","WR","ARI",77,NA,NA,NA,NA,NA,0,0,0,69,966,8,NA,NA,144.6
"JULIUSTHOMAS","Julius Thomas","TE","DEN",78,NA,NA,NA,NA,NA,NA,NA,NA,70,840,10,NA,NA,144
"TRENTRICHARDSON","Trent Richardson","RB","IND",79,NA,NA,NA,NA,NA,210,788,6,31,229,1,NA,NA,143.7
"SHANEVEREEN","Shane Vereen","RB","NE",80,NA,NA,NA,NA,NA,110,490,3,65,585,3,NA,NA,143.5
"RAYRICE","Ray Rice","RB","BAL",81,NA,NA,NA,NA,NA,190,732,5,47,320,1,NA,NA,141.2
"DESEANJACKSON","DeSean Jackson","WR","WAS",82,NA,NA,NA,NA,NA,3,18,0,65,943,7,NA,NA,138.1
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",83,NA,NA,NA,NA,NA,1,4,0,72,893,8,NA,NA,137.7
"RODDYWHITE","Roddy White","WR","ATL",84,NA,NA,NA,NA,NA,0,0,0,79,995,6,NA,NA,135.5
"WESWELKER","Wes Welker","WR","DEN",85,NA,NA,NA,NA,NA,0,0,0,78,866,8,NA,NA,134.6
"TYHILTON","T.Y. Hilton","WR","IND",86,NA,NA,NA,NA,NA,1,4,0,68,979,6,NA,NA,134.3
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",87,NA,NA,NA,NA,NA,180,702,6,30,219,1,NA,NA,134.1
"BENTATE","Ben Tate","RB","CLE",88,NA,NA,NA,NA,NA,175,718,6,27,197,1,NA,NA,133.5
"STEVANRIDLEY","Stevan Ridley","RB","NE",89,NA,NA,NA,NA,NA,185,786,8,5,35,0,NA,NA,130.1
"KENDALLWRIGHT","Kendall Wright","WR","TEN",90,NA,NA,NA,NA,NA,0,0,0,75,938,6,NA,NA,129.8
"JORDANCAMERON","Jordan Cameron","TE","CLE",91,NA,NA,NA,NA,NA,NA,NA,NA,85,935,6,NA,NA,129.5
"TORREYSMITH","Torrey Smith","WR","BAL",92,NA,NA,NA,NA,NA,0,0,0,56,918,6,NA,NA,127.8
"BRANDINCOOKS","Brandin Cooks","WR","NO",93,NA,NA,NA,NA,NA,15,75,1,55,776,6,NA,NA,127.1
"MIKEWALLACE","Mike Wallace","WR","MIA",94,NA,NA,NA,NA,NA,3,15,0,68,884,6,NA,NA,125.9
"FREDJACKSON","Fred Jackson","RB","BUF",95,NA,NA,NA,NA,NA,140,602,4,39,293,2,NA,NA,125.5
"STEVENJACKSON","Steven Jackson","RB","ATL",96,NA,NA,NA,NA,NA,160,608,6,32,208,1,NA,NA,123.6
"MICHAELCRABTREE","Michael Crabtree","WR","SF",97,NA,NA,NA,NA,NA,0,0,0,65,871,6,NA,NA,123.1
"DWAYNEBOWE","Dwayne Bowe","WR","KC",98,NA,NA,NA,NA,NA,0,0,0,69,869,6,NA,NA,122.9
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",99,NA,NA,NA,NA,NA,1,4,0,64,864,6,NA,NA,122.8
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",100,NA,NA,NA,NA,NA,160,664,5,23,193,1,NA,NA,121.7
"PIERRETHOMAS","Pierre Thomas","RB","NO",101,NA,NA,NA,NA,NA,125,506,3,57,405,2,NA,NA,121.1
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",102,NA,NA,NA,NA,NA,2,10,0,62,775,7,NA,NA,120.5
"ERICDECKER","Eric Decker","WR","NYJ",103,NA,NA,NA,NA,NA,0,0,0,65,891,5,NA,NA,119.1
"RILEYCOOPER","Riley Cooper","WR","PHI",104,NA,NA,NA,NA,NA,1,4,0,54,810,6,NA,NA,117.4
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",105,NA,NA,NA,NA,NA,3,12,0,54,799,6,NA,NA,117.1
"RUEBENRANDLE","Rueben Randle","WR","NYG",106,NA,NA,NA,NA,NA,0,0,0,60,870,5,NA,NA,117
"GREGOLSEN","Greg Olsen","TE","CAR",107,NA,NA,NA,NA,NA,NA,NA,NA,66,785,6,NA,NA,114.5
"JORDANREED","Jordan Reed","TE","WAS",108,NA,NA,NA,NA,NA,NA,NA,NA,68,782,6,NA,NA,114.2
"SAMMYWATKINS","Sammy Watkins","WR","BUF",109,NA,NA,NA,NA,NA,0,0,0,59,779,6,NA,NA,113.9
"REGGIEWAYNE","Reggie Wayne","WR","IND",110,NA,NA,NA,NA,NA,0,0,0,65,832,5,NA,NA,113.2
"JULIANEDELMAN","Julian Edelman","WR","NE",111,NA,NA,NA,NA,NA,2,10,0,78,819,5,NA,NA,112.9
"MARQUESCOLSTON","Marques Colston","WR","NO",112,NA,NA,NA,NA,NA,0,0,0,61,763,6,NA,NA,112.3
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",113,NA,NA,NA,NA,NA,0,0,0,60,852,4,NA,NA,109.2
"VERNONDAVIS","Vernon Davis","TE","SF",114,NA,NA,NA,NA,NA,NA,NA,NA,51,663,7,NA,NA,108.3
"GOLDENTATE","Golden Tate","WR","DET",115,NA,NA,NA,NA,NA,1,5,0,55,772,5,NA,NA,107.7
"DANNYAMENDOLA","Danny Amendola","WR","NE",116,NA,NA,NA,NA,NA,1,5,0,65,767,5,NA,NA,107.2
"MIKEEVANS","Mike Evans","WR","TB",117,NA,NA,NA,NA,NA,0,0,0,55,754,5,NA,NA,105.4
"JASONWITTEN","Jason Witten","TE","DAL",118,NA,NA,NA,NA,NA,NA,NA,NA,65,748,5,NA,NA,104.8
"ANQUANBOLDIN","Anquan Boldin","WR","SF",119,NA,NA,NA,NA,NA,2,11,0,55,732,5,NA,NA,104.3
"HAKEEMNICKS","Hakeem Nicks","WR","IND",120,NA,NA,NA,NA,NA,0,0,0,51,740,5,NA,NA,104
"DARRENSPROLES","Darren Sproles","RB","PHI",121,NA,NA,NA,NA,NA,55,272,2,54,464,3,NA,NA,103.6
"DOUGBALDWIN","Doug Baldwin","WR","SEA",122,NA,NA,NA,NA,NA,2,8,0,49,711,5,NA,NA,101.9
"DENNISPITTA","Dennis Pitta","TE","BAL",122,NA,NA,NA,NA,NA,NA,NA,NA,61,659,6,NA,NA,101.9
"BRIANHARTLINE","Brian Hartline","WR","MIA",124,NA,NA,NA,NA,NA,0,0,0,60,774,4,NA,NA,101.4
"ANDREHOLMES","Andre Holmes","WR","OAK",125,NA,NA,NA,NA,NA,1,4,0,46,708,5,NA,NA,101.2
"RODSTREATER","Rod Streater","WR","OAK",126,NA,NA,NA,NA,NA,2,14,0,48,696,5,NA,NA,101
"TAVONAUSTIN","Tavon Austin","WR","STL",127,NA,NA,NA,NA,NA,10,140,1,50,565,4,NA,NA,100.5
"MARVINJONES","Marvin Jones","WR","CIN",128,NA,NA,NA,NA,NA,5,30,0,50,650,5,NA,NA,98
"DANNYWOODHEAD","Danny Woodhead","RB","SD",129,NA,NA,NA,NA,NA,50,198,1,60,474,4,NA,NA,97.2
"ANDREWILLIAMS","Andre Williams","RB","NYG",130,NA,NA,NA,NA,NA,130,520,6,13,91,0,NA,NA,97.1
"DARRENMCFADDEN","Darren McFadden","RB","OAK",131,NA,NA,NA,NA,NA,145,558,3,24,170,1,NA,NA,96.8
"BERNARDPIERCE","Bernard Pierce","RB","BAL",132,NA,NA,NA,NA,NA,145,544,5,20,120,0,NA,NA,96.4
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",132,NA,NA,NA,NA,NA,NA,NA,NA,61,604,6,NA,NA,96.4
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",134,NA,NA,NA,NA,NA,NA,NA,NA,58,661,5,NA,NA,96.1
"MARKUSWHEATON","Markus Wheaton","WR","PIT",135,NA,NA,NA,NA,NA,0,0,0,49,652,5,NA,NA,95.2
"KENNYSTILLS","Kenny Stills","WR","NO",136,NA,NA,NA,NA,NA,2,10,0,44,638,5,NA,NA,94.8
"STEVESMITH","Steve Smith","WR","BAL",137,NA,NA,NA,NA,NA,0,0,0,53,700,4,NA,NA,94
"GREGJENNINGS","Greg Jennings","WR","MIN",138,NA,NA,NA,NA,NA,0,0,0,58,684,4,NA,NA,92.4
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",139,NA,NA,NA,NA,NA,0,0,0,48,614,5,NA,NA,91.4
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",140,NA,NA,NA,NA,NA,110,435,4,25,178,1,NA,NA,91.3
"HARRYDOUGLAS","Harry Douglas","WR","ATL",141,NA,NA,NA,NA,NA,0,0,0,53,663,4,NA,NA,90.3
"CHARLESCLAY","Charles Clay","TE","MIA",142,NA,NA,NA,NA,NA,NA,NA,NA,55,600,5,NA,NA,90
"TERRANCEWEST","Terrance West","RB","CLE",143,NA,NA,NA,NA,NA,105,425,4,23,173,1,NA,NA,89.8
"CARLOSHYDE","Carlos Hyde","RB","SF",144,NA,NA,NA,NA,NA,130,559,4,14,95,0,NA,NA,89.4
"ROBERTWOODS","Robert Woods","WR","BUF",144,NA,NA,NA,NA,NA,2,10,0,46,644,4,NA,NA,89.4
"CECILSHORTS","Cecil Shorts","WR","JAX",146,NA,NA,NA,NA,NA,0,0,0,55,648,4,NA,NA,88.8
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",147,NA,NA,NA,NA,NA,0,0,0,45,581,5,NA,NA,88.1
"ZACHERTZ","Zach Ertz","TE","PHI",148,NA,NA,NA,NA,NA,NA,NA,NA,46,575,5,NA,NA,87.5
"DELANIEWALKER","Delanie Walker","TE","TEN",149,NA,NA,NA,NA,NA,NA,NA,NA,56,566,5,NA,NA,86.6
"LANCEDUNBAR","Lance Dunbar","RB","DAL",150,NA,NA,NA,NA,NA,100,435,3,24,180,1,NA,NA,85.5
"JUSTINHUNTER","Justin Hunter","WR","TEN",151,NA,NA,NA,NA,NA,0,0,0,42,605,4,NA,NA,84.5
"ANTONIOGATES","Antonio Gates","TE","SD",152,NA,NA,NA,NA,NA,NA,NA,NA,53,604,4,NA,NA,84.4
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",153,NA,NA,NA,NA,NA,0,0,0,45,603,4,NA,NA,84.3
"JAMESJONES","James Jones","WR","OAK",154,NA,NA,NA,NA,NA,0,0,0,43,602,4,NA,NA,84.2
"JEREMYHILL","Jeremy Hill","RB","CIN",155,NA,NA,NA,NA,NA,135,533,4,8,56,0,NA,NA,82.9
"KENNYBRITT","Kenny Britt","WR","STL",156,NA,NA,NA,NA,NA,0,0,0,46,584,4,NA,NA,82.4
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",157,NA,NA,NA,NA,NA,100,415,3,22,167,1,NA,NA,82.2
"MARQISELEE","Marqise Lee","WR","JAX",158,NA,NA,NA,NA,NA,1,5,0,50,625,3,NA,NA,81
"LADARIUSGREEN","Ladarius Green","TE","SD",159,NA,NA,NA,NA,NA,NA,NA,NA,45,563,4,NA,NA,80.3
"MALCOMFLOYD","Malcom Floyd","WR","SD",160,NA,NA,NA,NA,NA,0,0,0,38,562,4,NA,NA,80.2
"HEATHMILLER","Heath Miller","TE","PIT",161,NA,NA,NA,NA,NA,NA,NA,NA,53,557,4,NA,NA,79.7
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",162,NA,NA,NA,NA,NA,105,446,3,23,168,0,NA,NA,79.4
