"name","pos","name_fox","team_fox","positionRank_fox","overallRank_fox","pts_fox","passAtt_fox","passComp_fox","passYds_fox","passTds_fox","passInt_fox","rushAtt_fox","rushYds_fox","rushTds_fox","rec_fox","recYds_fox","recTds_fox","returnTds_fox","twoPts_fox","fumbles_fox"
"LANCEDUNBAR","RB","Lance Dunbar","DAL",61,184,82.1,NA,NA,NA,NA,NA,NA,391,5,NA,125,1,NA,0,2
"TYLEREIFERT","TE","Tyler Eifert","CIN",15,185,81.3,NA,NA,NA,NA,NA,NA,0,0,NA,594,4,NA,0,1
"ROBERTTURBIN","RB","Robert Turbin","SEA",62,186,81.2,NA,NA,NA,NA,NA,NA,449,4,NA,110,1,NA,0,2
"JAREDCOOK","TE","Jared Cook","STL",16,187,80.7,NA,NA,NA,NA,NA,NA,0,0,NA,594,4,NA,0,1
"AUSTINPETTIS","WR","Austin Pettis","STL",78,188,80.4,NA,NA,NA,NA,NA,NA,0,0,NA,579,4,NA,0,1
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",79,189,79.3,NA,NA,NA,NA,NA,NA,0,0,NA,561,4,NA,0,0
"TEDGINN","WR","Ted Ginn Jr.","ARI",80,190,79.2,NA,NA,NA,NA,NA,NA,0,0,NA,557,4,NA,0,1
"VINCENTBROWN","WR","Vincent Brown","SD",81,191,79,NA,NA,NA,NA,NA,NA,0,0,NA,555,4,NA,0,1
"STEVEJOHNSON","WR","Stevie Johnson","SF",82,192,77.2,NA,NA,NA,NA,NA,NA,0,0,NA,554,4,NA,0,1
"MIKEWILLIAMS","WR","Mike Williams","BUF",83,193,75.6,NA,NA,NA,NA,NA,NA,0,0,NA,538,4,NA,0,1
"LADARIUSGREEN","TE","Ladarius Green","SD",17,194,75.4,NA,NA,NA,NA,NA,NA,0,0,NA,507,4,NA,0,0
"LEVINETOILOLO","TE","Levine Toilolo","ATL",18,195,75,NA,NA,NA,NA,NA,NA,0,0,NA,545,4,NA,0,1
"ANTONIOGATES","TE","Antonio Gates","SD",19,196,74.5,NA,NA,NA,NA,NA,NA,0,0,NA,541,4,NA,0,1
"ADRIENROBINSON","TE","Adrien Robinson","NYG",20,197,74.4,NA,NA,NA,NA,NA,NA,0,0,NA,539,4,NA,0,1
"BRANDONGIBSON","WR","Brandon Gibson","MIA",84,198,73.4,NA,NA,NA,NA,NA,NA,0,0,NA,520,4,NA,0,1
"GARRETTGRAHAM","TE","Garrett Graham","HOU",21,199,72.5,NA,NA,NA,NA,NA,NA,0,0,NA,546,3,NA,0,1
"ERICEBRON","TE","Eric Ebron","DET",22,200,71.7,NA,NA,NA,NA,NA,NA,0,0,NA,497,4,NA,0,0
"BRANDONMYERS","TE","Brandon Myers","TB",23,201,71.6,NA,NA,NA,NA,NA,NA,0,0,NA,527,3,NA,0,1
"DELANIEWALKER","TE","Delanie Walker","TEN",24,202,70.8,NA,NA,NA,NA,NA,NA,0,0,NA,526,3,NA,0,1
"MARQUESSWILSON","WR","Marquess Wilson","CHI",85,203,70.5,NA,NA,NA,NA,NA,NA,0,0,NA,496,4,NA,0,1
"AJJENKINS","WR","A.J. Jenkins","KC",86,204,69.2,NA,NA,NA,NA,NA,NA,0,0,NA,509,3,NA,0,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",87,205,68.9,NA,NA,NA,NA,NA,NA,0,0,NA,493,3,NA,0,1
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",63,206,68.5,NA,NA,NA,NA,NA,NA,385,4,NA,73,1,NA,0,2
"ANDREWQUARLESS","TE","Andrew Quarless","GB",25,207,68.3,NA,NA,NA,NA,NA,NA,0,0,NA,487,3,NA,0,1
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",25,207,68.3,NA,NA,NA,NA,NA,NA,0,0,NA,514,3,NA,0,1
"JASONAVANT","WR","Jason Avant","CAR",88,209,67.8,NA,NA,NA,NA,NA,NA,0,0,NA,482,3,NA,0,1
"ROBHOUSLER","TE","Rob Housler","ARI",27,210,67.4,NA,NA,NA,NA,NA,NA,0,0,NA,487,3,NA,0,1
"COLEBEASLEY","WR","Cole Beasley","DAL",89,211,67,NA,NA,NA,NA,NA,NA,0,0,NA,484,3,NA,0,1
"ANDREROBERTS","WR","Andre Roberts","WAS",90,212,66.4,NA,NA,NA,NA,NA,NA,0,0,NA,467,3,NA,0,1
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",64,213,66.3,NA,NA,NA,NA,NA,NA,346,4,NA,93,1,NA,0,2
"MARLONBROWN","WR","Marlon Brown","BAL",91,214,65.1,NA,NA,NA,NA,NA,NA,0,0,NA,458,3,NA,0,1
"DAVIDAUSBERRY","TE","David Ausberry","OAK",28,215,65,NA,NA,NA,NA,NA,NA,0,0,NA,492,3,NA,0,1
"NATEBURLESON","WR","Nate Burleson","CLE",92,216,64.7,NA,NA,NA,NA,NA,NA,0,0,NA,472,3,NA,0,1
"STEPHENHILL","WR","Stephen Hill","NYJ",93,217,64.6,NA,NA,NA,NA,NA,NA,0,0,NA,483,3,NA,0,0
"COBYFLEENER","TE","Coby Fleener","IND",29,217,64.6,NA,NA,NA,NA,NA,NA,0,0,NA,474,3,NA,0,1
"CHRISOWUSU","WR","Chris Owusu","TB",94,219,62.8,NA,NA,NA,NA,NA,NA,0,0,NA,442,3,NA,0,1
"KESHAWNMARTIN","WR","Keshawn Martin","HOU",94,219,62.8,NA,NA,NA,NA,NA,NA,0,0,NA,459,3,NA,0,0
"SCOTTCHANDLER","TE","Scott Chandler","BUF",30,221,62.1,NA,NA,NA,NA,NA,NA,0,0,NA,457,3,NA,0,1
"MALCOMFLOYD","WR","Malcom Floyd","SD",96,222,61.9,NA,NA,NA,NA,NA,NA,0,0,NA,419,3,NA,0,0
"MARIOMANNINGHAM","WR","Mario Manningham","NYG",97,223,61.4,NA,NA,NA,NA,NA,NA,0,0,NA,412,3,NA,0,0
"DAVANTEADAMS","WR","Davante Adams","GB",98,224,61.2,NA,NA,NA,NA,NA,NA,0,0,NA,395,4,NA,0,0
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",31,225,58.8,NA,NA,NA,NA,NA,NA,0,0,NA,443,3,NA,0,1
"JONATHANDWYER","RB","Jonathan Dwyer","ARI",65,226,58,NA,NA,NA,NA,NA,NA,269,3,NA,111,1,NA,0,1
"JOHNCARLSON","TE","John Carlson","ARI",32,227,57.8,NA,NA,NA,NA,NA,NA,0,0,NA,394,3,NA,0,0
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",66,228,57.7,NA,NA,NA,NA,NA,NA,157,2,NA,208,2,NA,0,1
"VICKBALLARD","RB","Vick Ballard","IND",67,229,56.2,NA,NA,NA,NA,NA,NA,289,3,NA,66,0,NA,0,1
"ZACHMILLER","TE","Zach Miller","SEA",33,230,54.9,NA,NA,NA,NA,NA,NA,0,0,NA,408,3,NA,0,1
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",34,231,54,NA,NA,NA,NA,NA,NA,0,0,NA,358,3,NA,0,0
"ANDREHOLMES","WR","Andre Holmes","OAK",99,232,52.7,NA,NA,NA,NA,NA,NA,0,0,NA,378,3,NA,0,0
"TIMWRIGHT","TE","Tim Wright","TB",35,233,51.6,NA,NA,NA,NA,NA,NA,0,0,NA,351,3,NA,0,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",100,234,51.4,NA,NA,NA,NA,NA,NA,0,0,NA,353,3,NA,0,0
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",36,235,50.8,NA,NA,NA,NA,NA,NA,0,0,NA,390,2,NA,0,1
"KENNYBRITT","WR","Kenny Britt","STL",101,236,50.6,NA,NA,NA,NA,NA,NA,0,0,NA,358,3,NA,0,0
"ROBERTMEACHEM","WR","Robert Meachem","NO",102,237,50.4,NA,NA,NA,NA,NA,NA,0,0,NA,326,3,NA,0,0
"OWENDANIELS","TE","Owen Daniels","BAL",37,238,49.5,NA,NA,NA,NA,NA,NA,0,0,NA,329,3,NA,0,0
"DWAYNEALLEN","TE","Dwayne Allen","IND",38,239,49,NA,NA,NA,NA,NA,NA,0,0,NA,325,3,NA,0,0
"BRANDONLAFELL","WR","Brandon LaFell","NE",103,240,46.9,NA,NA,NA,NA,NA,NA,0,0,NA,317,3,NA,0,0
"GAVINESCOBAR","TE","Gavin Escobar","DAL",39,241,46.2,NA,NA,NA,NA,NA,NA,0,0,NA,321,2,NA,0,0
"BENJAMINWATSON","TE","Benjamin Watson","NO",40,242,45.3,NA,NA,NA,NA,NA,NA,0,0,NA,297,3,NA,0,0
"DREWDAVIS","WR","Drew Davis","ATL",104,243,44.9,NA,NA,NA,NA,NA,NA,0,0,NA,297,3,NA,0,0
"ANTHONYFASANO","TE","Anthony Fasano","KC",41,244,44.3,NA,NA,NA,NA,NA,NA,0,0,NA,333,2,NA,0,1
"KENDALLHUNTER","RB","Kendall Hunter","SF",68,245,44,NA,NA,NA,NA,NA,NA,246,3,NA,32,0,NA,0,1
"RYANBROYLES","WR","Ryan Broyles","DET",105,246,43.1,NA,NA,NA,NA,NA,NA,0,0,NA,321,2,NA,0,0
"TIQUANUNDERWOOD","WR","Tiquan Underwood","CAR",106,247,42.8,NA,NA,NA,NA,NA,NA,0,0,NA,295,2,NA,0,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",106,247,42.8,NA,NA,NA,NA,NA,NA,0,0,NA,285,2,NA,0,0
"JACOBYJONES","WR","Jacoby Jones","BAL",108,249,41.2,NA,NA,NA,NA,NA,NA,0,0,NA,273,2,NA,0,0
"ACESANDERS","WR","Ace Sanders","JAC",109,250,40.2,NA,NA,NA,NA,NA,NA,0,0,NA,281,2,NA,0,0
"JIMDRAY","TE","Jim Dray","CLE",42,251,38.7,NA,NA,NA,NA,NA,NA,0,0,NA,269,2,NA,0,0
"BRANDONBOLDEN","RB","Brandon Bolden","NE",69,252,38,NA,NA,NA,NA,NA,NA,184,2,NA,56,0,NA,0,1
"MYCHALRIVERA","TE","Mychal Rivera","OAK",43,253,37.7,NA,NA,NA,NA,NA,NA,0,0,NA,259,2,NA,0,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",70,254,37.1,NA,NA,NA,NA,NA,NA,133,2,NA,96,1,NA,0,1
"ALDRICKROBINSON","WR","Aldrick Robinson","WAS",110,255,36.5,NA,NA,NA,NA,NA,NA,0,0,NA,244,2,NA,0,0
"RYANGRIFFIN","TE","Ryan Griffin","HOU",44,256,36.4,NA,NA,NA,NA,NA,NA,0,0,NA,246,2,NA,0,0
"SIDNEYRICE","WR","Sidney Rice","SEA",111,257,36.1,NA,NA,NA,NA,NA,NA,0,0,NA,250,2,NA,0,0
"CJANDERSON","RB","C.J. Anderson","DEN",71,258,35.7,NA,NA,NA,NA,NA,NA,173,2,NA,42,0,NA,0,1
"ANDRECALDWELL","WR","Andre Caldwell","DEN",112,259,34.8,NA,NA,NA,NA,NA,NA,0,0,NA,229,2,NA,0,0
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",45,259,34.8,NA,NA,NA,NA,NA,NA,0,0,NA,241,2,NA,0,0
"BRENTCELEK","TE","Brent Celek","PHI",46,261,34.6,NA,NA,NA,NA,NA,NA,0,0,NA,239,2,NA,0,0
"DENARDROBINSON","WR","Denard Robinson","JAC",113,262,34.5,NA,NA,NA,NA,NA,NA,171,2,NA,52,0,NA,0,0
"LANCEKENDRICKS","TE","Lance Kendricks","STL",47,263,31.2,NA,NA,NA,NA,NA,NA,0,0,NA,219,2,NA,0,0
"MARQUISEGOODWIN","WR","Marquise Goodwin","BUF",114,264,31,NA,NA,NA,NA,NA,NA,0,0,NA,211,2,NA,0,0
"TRAVISKELCE","TE","Travis Kelce","KC",48,264,31,NA,NA,NA,NA,NA,NA,0,0,NA,223,2,NA,0,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",115,266,30.9,NA,NA,NA,NA,NA,NA,0,0,NA,203,2,NA,0,0
"TONYMOEAKI","TE","Tony Moeaki","BUF",49,267,30.8,NA,NA,NA,NA,NA,NA,0,0,NA,208,2,NA,0,0
"DONALDBROWN","RB","Donald Brown","SD",72,268,30.7,NA,NA,NA,NA,NA,NA,132,2,NA,66,0,NA,0,1
"BRYCEBROWN","RB","Bryce Brown","BUF",73,269,30.3,NA,NA,NA,NA,NA,NA,155,2,NA,34,0,NA,0,1
"BOBBYRAINEY","RB","Bobby Rainey","TB",74,270,29.4,NA,NA,NA,NA,NA,NA,157,2,NA,38,0,NA,0,1
"JACEAMARO","TE","Jace Amaro","NYJ",50,271,28.9,NA,NA,NA,NA,NA,NA,0,0,NA,202,1,NA,0,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",75,272,28.5,NA,NA,NA,NA,NA,NA,154,2,NA,15,0,NA,0,0
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",76,273,28.4,NA,NA,NA,NA,NA,NA,149,2,NA,26,0,NA,0,1
"JONBALDWIN","WR","Jon Baldwin","DET",116,274,27.5,NA,NA,NA,NA,NA,NA,0,0,NA,187,2,NA,0,0
"DEVIERPOSEY","WR","DeVier Posey","HOU",117,275,27,NA,NA,NA,NA,NA,NA,0,0,NA,190,1,NA,0,0
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",118,276,26.9,NA,NA,NA,NA,NA,NA,0,0,NA,197,1,NA,0,0
"JOSHMORGAN","WR","Josh Morgan","CHI",119,277,26.7,NA,NA,NA,NA,NA,NA,0,0,NA,175,2,NA,0,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",120,278,25.1,NA,NA,NA,NA,NA,NA,0,0,NA,170,1,NA,0,0
"DENNISJOHNSON","RB","Dennis Johnson","HOU",77,279,24.8,NA,NA,NA,NA,NA,NA,140,1,NA,24,0,NA,0,1
"BENJARVUSGREENELLIS","RB","BenJarvus Green-Ellis","CIN",78,280,24.3,NA,NA,NA,NA,NA,NA,154,2,NA,6,0,NA,0,1
"DAVIDNELSON","WR","David Nelson","NYJ",121,281,24.2,NA,NA,NA,NA,NA,NA,0,0,NA,175,1,NA,0,0
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",122,282,23.7,NA,NA,NA,NA,NA,NA,0,0,NA,162,1,NA,0,0
"JOSHHUFF","WR","Josh Huff","PHI",123,283,22.3,NA,NA,NA,NA,NA,NA,0,0,NA,152,1,NA,0,0
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",79,284,22,NA,NA,NA,NA,NA,NA,113,1,NA,29,0,NA,0,1
"MATTASIATA","RB","Matt Asiata","MIN",80,285,21.8,NA,NA,NA,NA,NA,NA,147,1,NA,1,0,NA,0,1
"DEVINSTREET","WR","Devin Street","DAL",124,286,21.2,NA,NA,NA,NA,NA,NA,0,0,NA,140,1,NA,0,0
"MICHAELFORD","RB","Michael Ford","CHI",81,287,18.5,NA,NA,NA,NA,NA,NA,111,1,NA,9,0,NA,0,1
"KHIRYROBINSON","RB","Khiry Robinson","NO",82,288,17,NA,NA,NA,NA,NA,NA,66,1,NA,20,0,NA,0,0
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","PIT",125,289,15.9,NA,NA,NA,NA,NA,NA,0,0,NA,99,1,NA,0,0
"CYRUSGRAY","RB","Cyrus Gray","KC",83,290,15.3,NA,NA,NA,NA,NA,NA,104,1,NA,1,0,NA,0,1
"ANTHONYSHERMAN","RB","Anthony Sherman","KC",84,291,15.2,NA,NA,NA,NA,NA,NA,6,0,NA,101,1,NA,0,0
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",85,292,14.7,NA,NA,NA,NA,NA,NA,81,1,NA,12,0,NA,0,0
"DANIELTHOMAS","RB","Daniel Thomas","MIA",86,293,13.9,NA,NA,NA,NA,NA,NA,66,1,NA,15,0,NA,0,0
"MIKEBROWN","WR","Mike Brown","JAC",126,294,13.1,NA,NA,NA,NA,NA,NA,0,0,NA,83,1,NA,0,0
"LOUISMURPHY","WR","Louis Murphy Jr.","TB",127,295,12.5,NA,NA,NA,NA,NA,NA,0,0,NA,79,1,NA,0,0
"JACKIEBATTLE","RB","Jackie Battle","TEN",87,296,11,NA,NA,NA,NA,NA,NA,69,1,NA,0,0,NA,0,0
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",88,297,10.2,NA,NA,NA,NA,NA,NA,49,1,NA,13,0,NA,0,0
"BRIANQUICK","WR","Brian Quick","STL",128,298,10.1,NA,NA,NA,NA,NA,NA,0,0,NA,62,1,NA,0,0
"MIKETOLBERT","RB","Mike Tolbert","CAR",89,299,10,NA,NA,NA,NA,NA,NA,45,1,NA,15,0,NA,0,0
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","NE",129,300,9.3,NA,NA,NA,NA,NA,NA,0,0,NA,59,1,NA,0,0
"BILALPOWELL","RB","Bilal Powell","NYJ",90,301,8.6,NA,NA,NA,NA,NA,NA,47,1,NA,8,0,NA,0,0
"JEDCOLLINS","RB","Jed Collins","DET",91,302,8.4,NA,NA,NA,NA,NA,NA,13,0,NA,46,0,NA,0,0
"GREGLITTLE","WR","Greg Little","OAK",130,303,8.2,NA,NA,NA,NA,NA,NA,0,0,NA,50,1,NA,0,0
"HENRYHYNOSKI","RB","Henry Hynoski","NYG",92,304,7.8,NA,NA,NA,NA,NA,NA,4,0,NA,50,0,NA,0,0
"NICKTOON","WR","Nick Toon","NO",131,305,7.3,NA,NA,NA,NA,NA,NA,0,0,NA,47,0,NA,0,0
"LACHESEASTRUNK","RB","Lache Seastrunk","WAS",93,306,7.2,NA,NA,NA,NA,NA,NA,43,0,NA,4,0,NA,0,0
"JOEMCKNIGHT","RB","Joe McKnight","KC",94,307,6.8,NA,NA,NA,NA,NA,NA,42,0,NA,3,0,NA,0,0
"JOSEPHRANDLE","RB","Joseph Randle","DAL",95,308,6.4,NA,NA,NA,NA,NA,NA,36,1,NA,1,0,NA,0,0
"DARICKROGERS","WR","Da'Rick Rogers","IND",132,309,5.8,NA,NA,NA,NA,NA,NA,0,0,NA,35,0,NA,0,0
"DUJUANHARRIS","RB","DuJuan Harris","GB",96,310,5.6,NA,NA,NA,NA,NA,NA,30,0,NA,3,0,NA,0,0
"QUINTONPATTON","WR","Quinton Patton","SF",133,311,5.2,NA,NA,NA,NA,NA,NA,0,0,NA,31,0,NA,0,0
"TJGRAHAM","WR","T.J. Graham","BUF",134,312,4.8,NA,NA,NA,NA,NA,NA,0,0,NA,30,0,NA,0,0
"THEORIDDICK","RB","Theo Riddick","DET",97,313,4.7,NA,NA,NA,NA,NA,NA,26,0,NA,2,0,NA,0,0
"JARVISLANDRY","WR","Jarvis Landry","MIA",135,314,4.5,NA,NA,NA,NA,NA,NA,0,0,NA,27,0,NA,0,0
"DRIARCHER","RB","Dri Archer","PIT",98,315,4.4,NA,NA,NA,NA,NA,NA,18,0,NA,6,0,NA,0,0
"DWAYNEHARRIS","WR","Dwayne Harris","DAL",136,315,4.4,NA,NA,NA,NA,NA,NA,0,0,NA,29,0,NA,0,0
"DIONLEWIS","RB","Dion Lewis","CLE",99,317,4.3,NA,NA,NA,NA,NA,NA,22,0,NA,2,0,NA,0,0
"JACOBYFORD","WR","Jacoby Ford","NYJ",137,318,4,NA,NA,NA,NA,NA,NA,0,0,NA,26,0,NA,0,0
"KYLEWILLIAMS","WR","Kyle Williams","KC",137,318,4,NA,NA,NA,NA,NA,NA,0,0,NA,27,0,NA,0,0
"MIKETHOMAS","WR","Mike Thomas","HOU",139,320,3.8,NA,NA,NA,NA,NA,NA,0,0,NA,20,0,NA,0,0
"JERRELJERNIGAN","WR","Jerrel Jernigan","NYG",139,320,3.8,NA,NA,NA,NA,NA,NA,0,0,NA,23,0,NA,0,0
"DAMARISJOHNSON","WR","Damaris Johnson","PHI",141,322,3.4,NA,NA,NA,NA,NA,NA,0,0,NA,22,0,NA,0,0
"SANTANAMOSS","WR","Santana Moss","WAS",141,322,3.4,NA,NA,NA,NA,NA,NA,0,0,NA,21,0,NA,0,0
"CHRISPOLK","RB","Chris Polk","PHI",100,324,3.3,NA,NA,NA,NA,NA,NA,21,0,NA,2,0,NA,0,0
"DANESANZENBACHER","WR","Dane Sanzenbacher","CIN",143,325,2.8,NA,NA,NA,NA,NA,NA,0,0,NA,20,0,NA,0,0
"DEONTETHOMPSON","WR","Deonte Thompson","BAL",144,326,1.8,NA,NA,NA,NA,NA,NA,0,0,NA,10,0,NA,0,0
"RICARDOLOCKETTE","WR","Ricardo Lockette","SEA",145,327,1.7,NA,NA,NA,NA,NA,NA,0,0,NA,12,0,NA,0,0
"TANDONDOSS","WR","Tandon Doss","JAC",146,328,1.5,NA,NA,NA,NA,NA,NA,0,0,NA,10,0,NA,0,0
"JUSTINBROWN","WR","Justin Brown","PIT",147,329,1.4,NA,NA,NA,NA,NA,NA,0,0,NA,8,0,NA,0,0
"KEVINDORSEY","WR","Kevin Dorsey","GB",148,330,1.2,NA,NA,NA,NA,NA,NA,0,0,NA,7,0,NA,0,0
"KRISDURHAM","WR","Kris Durham","DET",148,330,1.2,NA,NA,NA,NA,NA,NA,0,0,NA,7,0,NA,0,0
"JURONCRINER","WR","Juron Criner","OAK",150,332,1,NA,NA,NA,NA,NA,NA,0,0,NA,6,0,NA,0,0
"ALEXTANNEY","QB","Alex Tanney","TB",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"BLAINEGABBERT","QB","Blaine Gabbert","SF",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"JORDANRODGERS","QB","Jordan Rodgers","MIA",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"BRADYQUINN","QB","Brady Quinn","MIA",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"TYLERBRAY","QB","Tyler Bray","KC",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"MATTBLANCHARD","QB","Matt Blanchard","CAR",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAC",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"DAVIDFALES","QB","David Fales","CHI",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"TERRELLEPRYOR","QB","Terrelle Pryor","SEA",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"REXGROSSMAN","QB","Rex Grossman","CLE",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"TYLERWILSON","QB","Tyler Wilson","CIN",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"BJDANIELS","QB","B.J. Daniels","SEA",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"MIKEGLENNON","QB","Mike Glennon","TB",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"JIMMYCLAUSEN","QB","Jimmy Clausen","CHI",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"ZACDYSERT","QB","Zac Dysert","DEN",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"RYANNASSIB","QB","Ryan Nassib","NYG",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
"BROCKOSWEILER","QB","Brock Osweiler","DEN",33,333,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
