"playerId","adp","leagueType","source"
100029,"200.33","std","MFL"
100029,"111.7","std","ESPN"
100029,"139.5","std","Yahoo"
2541707,"170.0","std","ESPN"
2495450,"19.07","std","MFL"
2495450,"23.9","std","ESPN"
2495450,"15.9","std","FFC"
2495450,"20.6","std","Yahoo"
2495853,"170.0","std","ESPN"
2539982,"170.0","std","ESPN"
2543501,"170.0","std","ESPN"
2539256,"235.6","std","MFL"
2539256,"170.0","std","ESPN"
2543485,"156.32","std","MFL"
2543485,"170.0","std","ESPN"
2543650,"170.0","std","ESPN"
2543587,"170.0","std","ESPN"
2552477,"170.0","std","ESPN"
2506363,"17.14","std","MFL"
2506363,"9.9","std","ESPN"
2506363,"34.1","std","FFC"
2506363,"16.2","std","Yahoo"
2508110,"170.0","std","ESPN"
2553895,"170.0","std","ESPN"
2506345,"170.0","std","ESPN"
2541785,"170.0","std","ESPN"
2552385,"170.0","std","ESPN"
2495140,"170.0","std","ESPN"
2507164,"5.72","std","MFL"
2507164,"3.3","std","ESPN"
2507164,"5.5","std","FFC"
2507164,"2.2","std","Yahoo"
2550842,"170.0","std","ESPN"
2534752,"170.0","std","ESPN"
2495560,"232.06","std","MFL"
2495560,"170.0","std","ESPN"
2495560,"113.4","std","Yahoo"
2507010,"170.0","std","ESPN"
1344,"170.0","std","ESPN"
2495491,"170.0","std","ESPN"
2553456,"170.0","std","ESPN"
2533433,"170.0","std","ESPN"
2532955,"170.0","std","ESPN"
2507253,"170.0","std","ESPN"
2550272,"218.34","std","MFL"
2550272,"170.0","std","ESPN"
2550455,"170.0","std","ESPN"
2495487,"170.0","std","ESPN"
2540143,"112.47","std","MFL"
2540143,"170.0","std","ESPN"
2552587,"170.0","std","ESPN"
2506340,"168.65","std","MFL"
2506340,"100.2","std","ESPN"
2506340,"165.7","std","FFC"
2506340,"119.3","std","Yahoo"
2506410,"170.0","std","ESPN"
2534870,"170.0","std","ESPN"
2543600,"117.59","std","MFL"
2543600,"122.5","std","ESPN"
2543600,"149.1","std","FFC"
2543600,"116.8","std","Yahoo"
2533457,"42.22","std","MFL"
2533457,"36.1","std","ESPN"
2533457,"115.1","std","FFC"
2533457,"48.3","std","Yahoo"
2495116,"170.0","std","ESPN"
2550353,"184.53","std","MFL"
2550353,"170.0","std","ESPN"
2550353,"58.4","std","FFC"
